reduced_formulas,etl,htl,bandgap,device_stack,pce,etl_SMILES,htl_SMILES
BiCH5I3N2Pb,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.6000001706098266,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",12.26,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
BiCs100I300Pb99,['TiO2-c'],['CuI'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'CuI', 'Au']",7.23,['O=[Ti]=O'],['[Cu]I']
BiCs20I60Pb19,['TiO2-c'],['CuI'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'CuI', 'Au']",10.66,['O=[Ti]=O'],['[Cu]I']
BiCs25I75Pb24,['TiO2-c'],['CuI'],1.5600001663445808,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'CuI', 'Au']",12.5225,['O=[Ti]=O'],['[Cu]I']
BiCs25I75Pb24,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],0.0,"['PET', 'ITO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",8.488,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
BiCs40I120Pb39,['TiO2-c'],['CuI'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'CuI', 'Au']",8.77,['O=[Ti]=O'],['[Cu]I']
BiFeO3,['none'],['Graphene'],0.0,"['SLG', 'FTO', 'Perovskite', 'Graphene', 'Ag']",3.04,['no_ctl'],['[C]']
Br1000C1000H5976I2955N1024Pb1000,['SnO2-np'],['Spiro-MeOTAD'],0.0,"['SLG', 'ITO', 'SnO2-np', 'Perovskite', 'Spiro-MeOTAD', 'Au']",19.76,['O=[Sn]=O'],['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
Br1000C5000Cu59H30000I14000N5000Pb4941,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],0.0,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",11.43,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
Br100C100H517I200N183Pb100,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.6840001795668424,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",14.72,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
Br100C100H533I200N167Pb100,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.6820001793535797,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",18.54,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
Br100C100H583I200N117Pb100,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.7640001880973335,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",12.22,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
Br100C26Cs79H140I200N42Pb100,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.7300001844718749,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",14.850000000000001,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
Br100C33H165I200N66Pb100,"['TiO2-c', 'TiO2-mp']",['Spiro-MeOTAD'],1.7570001873509153,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'Spiro-MeOTAD', 'Au']",17.48,"['O=[Ti]=O', 'O=[Ti]=O']",['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
Br100C83Cs17H415I200N166Pb100,['SnO2-np'],['Spiro-MeOTAD'],1.5900001695435149,"['SLG', 'FTO', 'SnO2-np', 'Perovskite', 'Spiro-MeOTAD', 'Au']",10.86,['O=[Sn]=O'],['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
Br100C83Cs17H415I200N166Pb100,['SnO2-np'],['Spiro-MeOTAD'],1.6700001780740064,"['SLG', 'FTO', 'SnO2-np', 'Perovskite', 'Spiro-MeOTAD', 'Au']",16.564999999999998,['O=[Sn]=O'],['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
